,actors,jailed,wealth,bribes
0,8.0,0.0,0.0,0.0
1,8.0,0.0,229750.0,0.0
2,8.0,0.0,484750.0,0.0
3,8.0,0.0,774750.0,0.0
4,7.0,1.0,943750.0,0.0
5,7.0,1.0,1139250.0,0.0
6,6.0,2.0,1239750.0,0.0
7,6.0,2.0,1548500.0,0.0
8,5.0,3.0,1689750.0,0.0
9,5.0,3.0,1877500.0,0.0
10,5.0,3.0,1915000.0,0.0
11,5.0,3.0,2114750.0,639200.0
12,5.0,3.0,2212500.0,312800.0
13,5.0,3.0,2340750.0,0.0
14,5.0,3.0,2616000.0,0.0
15,5.0,3.0,2665750.0,0.0
16,5.0,3.0,2771500.0,0.0
17,5.0,3.0,2870000.0,0.0
18,4.0,4.0,2904750.0,0.0
19,4.0,4.0,3091000.0,0.0
20,3.0,5.0,3146250.0,176800.0
21,3.0,5.0,3218500.0,0.0
22,3.0,5.0,3234750.0,0.0
23,3.0,5.0,3316000.0,260000.0
24,3.0,5.0,3374250.0,0.0
25,3.0,5.0,3376750.0,0.0
26,3.0,5.0,3469250.0,0.0
27,3.0,5.0,3566250.0,0.0
28,3.0,5.0,3644750.0,0.0
29,3.0,5.0,3691000.0,0.0
30,3.0,5.0,3793500.0,0.0
31,3.0,5.0,3921500.0,0.0
32,0.0,8.0,0.0,0.0
