,actors,jailed,wealth,bribes
139,7.0,19.0,8845250.0,0.0
140,7.0,19.0,8870250.0,0.0
141,7.0,19.0,8960500.0,0.0
142,7.0,19.0,8985500.0,0.0
143,7.0,19.0,8987750.0,0.0
144,7.0,19.0,8994000.0,0.0
145,7.0,19.0,9043000.0,0.0
146,7.0,19.0,9073250.0,0.0
147,7.0,19.0,9122250.0,0.0
148,7.0,19.0,9152500.0,0.0
149,7.0,19.0,9188500.0,0.0
150,7.0,19.0,9244750.0,0.0
151,7.0,19.0,9325750.0,0.0
152,7.0,19.0,9332000.0,0.0
153,7.0,19.0,9368000.0,0.0
154,7.0,19.0,9398250.0,0.0
155,7.0,19.0,9407250.0,0.0
156,7.0,19.0,9407500.0,0.0
157,7.0,19.0,9432500.0,0.0
158,7.0,19.0,9441500.0,0.0
159,7.0,19.0,9505500.0,0.0
160,7.0,19.0,9514500.0,0.0
161,7.0,19.0,9586750.0,0.0
162,7.0,19.0,9677000.0,0.0
163,7.0,19.0,9693000.0,0.0
164,7.0,19.0,9693250.0,0.0
165,5.0,21.0,0.0,0.0
